,description
586,"IA water Sep  level LIA-001 reading faut IA Water Sepearot A level transmitter LIA-001-TX reading faulty. Eventhough open bypass and no water come out, reading still maintain high at 27%. IA water Sep  level LIA-001 reading faut IA water Sep  level LIA-001 reading faut IA Water Sepearot A level transmitter LIA-001-TX reading faulty. Eventhough open bypass and no water come out, reading still maintain high at 27%."
587,"IAPA: Water Separator A level transmitte IAPA: Water Separator A level transmitter (LIA-001) low side isolation valve manifold leak and passing.  1st line troubleshoot: - perform drain via bypass line, water come out. Indicate level > 0%.  Integrated troubleshoot: - perform transmitter verification, *Range:0 to 354mmH2o *Reading -4.2mmH2o,3.90mA *zero check, 4.026mA *Leak check ,found leak at low side isolation valve manifold and passing. IAPA: To replace LIA-001 TX manifold IAPA: To replace LIA-001 TX manifold IAPA: Water Separator A level transmitter (LIA-001) low side isolation valve manifold leak and passing.  1st line troubleshoot: - perform drain via bypass line, water come out. Indicate level > 0%.  Integrated troubleshoot: - perform transmitter verification, *Range:0 to 354mmH2o *Reading -4.2mmH2o,3.90mA *zero check, 4.026mA *Leak check ,found leak at low side isolation valve manifold and passing."
588,"IAPA: Water Separator A As found condition: IAPA : Reading level LIA001 at DCS maintain high 100% after draining condensate to 0%.  Actions taken during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: Perform High point line backflushing and reading at DCS back to normal.  Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: High point line clogged.  Source of Problem: High point line clogged.  As left condition: High point line clogged.  PKP and Troubleshooter name & contact number: M.Sofian & 0134678271  Advance Troubleshooting eLog Number:NA  Special Tools/ Service/ Equipment required:NA  Attachments:as per attachment  Equipment operation need date: Rectification can be plan, for temporary now running with bypass autodrain open  Rectification Window:Can be perform online  Remarks:NA REPLACE MANIFOLD AND PERFORM CALIBRATE T REPLACE MANIFOLD AND PERFORM CALIBRATE TRANSMITTER 124LIA-001-TX AT IAPA IAPA: Water Separator A As found condition: IAPA : Reading level LIA001 at DCS maintain high 100% after draining condensate to 0%.  Actions taken during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: Perform High point line backflushing and reading at DCS back to normal.  Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: High point line clogged.  Source of Problem: High point line clogged.  As left condition: High point line clogged.  PKP and Troubleshooter name & contact number: M.Sofian & 0134678271  Advance Troubleshooting eLog Number:NA  Special Tools/ Service/ Equipment required:NA  Attachments:as per attachment  Equipment operation need date: Rectification can be plan, for temporary now running with bypass autodrain open  Rectification Window:Can be perform online  Remarks:NA"
589,"IAPA: Water Separator B level transmitte IAPA: Water Separator B level transmitter (LIA-002) manifold passing. To replace with new manifold 4-way and recalibrate the transmitter. If calibration fail to replace the tansmitter if necessary.  1st line troubleshoot: - perform drain via bypass line, water come out. Indicate level > 0%.  Integrated troubleshoot: - perform transmitter verification, *reading 3mmH2o,4.14mA *Zero check,4.46mA *Leak check,no leak but found manifold passing. IAPA: To replace LIA-002 TX manifold IAPA: To replace LIA-002 TX manifold IAPA: Water Separator B level transmitter (LIA-002) manifold passing. To replace with new manifold 4-way and recalibrate the transmitter. If calibration fail to replace the tansmitter if necessary.  1st line troubleshoot: - perform drain via bypass line, water come out. Indicate level > 0%.  Integrated troubleshoot: - perform transmitter verification, *reading 3mmH2o,4.14mA *Zero check,4.46mA *Leak check,no leak but found manifold passing."
590,IA Comp A PDI-1A05 Reading Faulty at cab IA Comp A PDI-1A05 Reading Faulty at IA cabin panel.(Finding from unsafe condition/UC) IA Comp A PDI-1A05 Reading Faulty at cab IA Comp A PDI-1A05 Reading Faulty at cab IA Comp A PDI-1A05 Reading Faulty at IA cabin panel.(Finding from unsafe condition/UC)
591,"IAP : To calibrate DP L.O filter tx IAP : Compressor A oil filter differential PDIA 1A05 reading under range.  1st line troubleshooting: - Base on trending shown no value during IA compressor A running compare to other IA compressor.  Integrated troubleshooting: - Contact troubleshooter Kyus, Advise to calibration the transmitter. IAP : To calibrate DP L.O filter tx IAP : To calibrate DP L.O filter tx IAP : Compressor A oil filter differential PDIA 1A05 reading under range.  1st line troubleshooting: - Base on trending shown no value during IA compressor A running compare to other IA compressor.  Integrated troubleshooting: - Contact troubleshooter Kyus, Advise to calibration the transmitter."
592,IA Comp B: PDT-1B05 compressor oil compressor oil filter dP -ve reading IA Comp B: PDT-1B05 compressor oil IA Comp B: PDT-1B05 compressor oil compressor oil filter dP -ve reading
593,"IAPA: To replace electronic card and per IAPA: To replace electronic card and perform calibration for PICA-003-TX  1)As found condition:IAPA plant air to header pressure PICA-003 reading observed intermittent undefined 2)Actions taken during Do Troubleshooting: OTF perform troubleshooting as per Do troubleshooting checklist 3)Actions taken during Advance Troubleshooting: Assign C & I ME to troubleshoot 4)Findings/Observations during Do Troubleshooting: OTF found no abnormalities for the transmitter 5)Findings/Observations during Advance Troubleshooting: Found electronic card problem, need to replace 6)Source of Problem: Electronic Card 7)As left condition:As previous condition 8)PKP and Troubleshooter name & contact number: Mustaqiim & 013-5932858 9)Task:N/A 10)Advance Troubleshooting eLog Number:eLOG-GPU-UK OAU-2021-16962 11)Special Tools/ Service/ Equipment required:N/A 12)Attachments:N/A 13)Equipment operation need date:To plan in LAP 14)Rectification Window:Anytime 15)MOC No: N/A 16)Remarks:N/A REPLACE ELECTRONIC CARD & PERFORM CALIBR REPLACE ELECTRONIC CARD & PERFORM CALIBRATION PICA-003-TX IAPA: To replace electronic card and per IAPA: To replace electronic card and perform calibration for PICA-003-TX  1)As found condition:IAPA plant air to header pressure PICA-003 reading observed intermittent undefined 2)Actions taken during Do Troubleshooting: OTF perform troubleshooting as per Do troubleshooting checklist 3)Actions taken during Advance Troubleshooting: Assign C & I ME to troubleshoot 4)Findings/Observations during Do Troubleshooting: OTF found no abnormalities for the transmitter 5)Findings/Observations during Advance Troubleshooting: Found electronic card problem, need to replace 6)Source of Problem: Electronic Card 7)As left condition:As previous condition 8)PKP and Troubleshooter name & contact number: Mustaqiim & 013-5932858 9)Task:N/A 10)Advance Troubleshooting eLog Number:eLOG-GPU-UK OAU-2021-16962 11)Special Tools/ Service/ Equipment required:N/A 12)Attachments:N/A 13)Equipment operation need date:To plan in LAP 14)Rectification Window:Anytime 15)MOC No: N/A 16)Remarks:N/A"
594,IA dryer B solenoid leak IA dryer B solenoid leak IA dryer B solenoid leak IA dryer B solenoid leak
595,To calibrate moisture ana at IA dryer  To calibrate moisture ana at IA dryer 
596,IA Dryer A: Dew point analyzer reading f  IA Dryer A: Dew point analyzer reading f IA Dryer A: Dew point analyzer reading freezed (QIA-2A08-tx)
597,UK I.A- I.A dryer B (V1-242B01A/B) aquad UK I.A- I.A dryer B (V1-242B01A/B) aquadex indicator broken. UK I.A- I.A dryer B (V1-242B01A/B) aquad UK I.A- I.A dryer B (V1-242B01A/B) aquad UK I.A- I.A dryer B (V1-242B01A/B) aquadex indicator broken.
598,IA Dryer B: Dew point analyzer reading f IA Dryer B: Dew point analyzer reading freezed (QIA-2B08-tx) IA Dryer B: Dew point analyzer reading f IA Dryer B: Dew point analyzer reading freezed (QIA-2B08-tx)
599,IA comp A TIA-1aA09 temperaure tx faulty IA comp A TIA-1aA09 temperaure tx faulty. Check at DCS tred found reading fluctuate and hit trip setting. IA comp A TIA-1aA09 temperaure tx faulty IA comp A TIA-1aA09 temperaure tx faulty IA comp A TIA-1aA09 temperaure tx faulty. Check at DCS tred found reading fluctuate and hit trip setting.
600,"To perform transmitter replacement for A 1)Task: To perform transmitter replacement for ASU1 TSA inlet temperature, 125TI-1A10A-S1. 2)As found condition: Transmitter kaput causing reading not available at DCS. 3)Actions taken during Do Troubleshooting: Perform visual inspection 4)Actions taken during Advance Troubleshooting: Perform transmitter verification 5)Findings/Observations during Do Troubleshooting: No abnormalities 6)Findings/Observations during Advance Troubleshooting: Transmitter kaput. Require replacement. 7)Source of Problem: Transmitter kaput 8)As left condition: Reading undefined 9)PKP and Troubleshooter name & contact number: Shahidan (0192166462) 10)Advance Troubleshooting eLog Number: eLOG-GPU-UK OAU-2022-07457 11)Special Tools/ Service/ Equipment required: Transmitter model TX 644 H 12)Attachments: NIL 13)Equipment operation need date: 13 Feb 2022 14)Rectification Window: anytime 15)MOC No: NA 16)Remarks: Transmitter 644H To perform transmitter replacement for A To perform transmitter replacement for A 1)Task: To perform transmitter replacement for ASU1 TSA inlet temperature, 125TI-1A10A-S1. 2)As found condition: Transmitter kaput causing reading not available at DCS. 3)Actions taken during Do Troubleshooting: Perform visual inspection 4)Actions taken during Advance Troubleshooting: Perform transmitter verification 5)Findings/Observations during Do Troubleshooting: No abnormalities 6)Findings/Observations during Advance Troubleshooting: Transmitter kaput. Require replacement. 7)Source of Problem: Transmitter kaput 8)As left condition: Reading undefined 9)PKP and Troubleshooter name & contact number: Shahidan (0192166462) 10)Advance Troubleshooting eLog Number: eLOG-GPU-UK OAU-2022-07457 11)Special Tools/ Service/ Equipment required: Transmitter model TX 644 H 12)Attachments: NIL 13)Equipment operation need date: 13 Feb 2022 14)Rectification Window: anytime 15)MOC No: NA 16)Remarks: Transmitter 644H"
601,IA COMP B TEMP 1B07 READ UNDEFINED IA COMP B TEMP TIA1B07 READING UNDEFINED IA COMP B TEMP 1B07 READ UNDEFINED IA COMP B TEMP 1B07 READ UNDEFINED IA COMP B TEMP TIA1B07 READING UNDEFINED
602,"IA Comp A: 1st stage auto drain tubing, IA Comp A: 1st stage auto drain tubing,isolation vlv not available IA Comp A: 1st stage auto drain tubing,i IA Comp A: 1st stage auto drain tubing,isolation vlv not available"
603,"IA: Compressor A auto drain solenoid bur IA: Compressor A auto drain solenoid burn, after logic modification IA: Compressor A auto drain solenoid bur IA: Compressor A auto drain solenoid bur IA: Compressor A auto drain solenoid burn, after logic modification"
604,"Defect: IAPA: Inst air comp B 1st stage Defect: IAPA: Inst air comp B 1st stage auto drain solenoid valve faulty  [1] As found condition: - Check at DCS signal open close available - Check at site, solenoid valve maintain in open position although indication at DCS close  [2] Actions taken during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: - OPN crack open auto drain bypass to drain remaining condensate in 1st stage.  [3]Source of Problem: - Solenoid valve faulty.  [4] Advance Troubleshooting eLOG Number: N/A, direct defect.  [5] Special Tools/ Service/ Equipment required: N/A  [6] Attachments: N/A  [7] Equipment operation need date: Equipment can run as usual, with less efficiencies due to loss of compress air via crack open bypass.  [8] Rectification Window: Normal rectification window. Isolation valve available.  [9] Remarks: NA     IAPA:IACB 1st cond SOV replacement IAPA:IACB 1st cond SOV replacement Defect: IAPA: Inst air comp B 1st stage auto drain solenoid valve faulty  [1] As found condition: - Check at DCS signal open close available - Check at site, solenoid valve maintain in open position although indication at DCS close  [2] Actions taken during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: - OPN crack open auto drain bypass to drain remaining condensate in 1st stage.  [3]Source of Problem: - Solenoid valve faulty.  [4] Advance Troubleshooting eLOG Number: N/A, direct defect.  [5] Special Tools/ Service/ Equipment required: N/A  [6] Attachments: N/A  [7] Equipment operation need date: Equipment can run as usual, with less efficiencies due to loss of compress air via crack open bypass.  [8] Rectification Window: Normal rectification window. Isolation valve available.  [9] Remarks: NA    "
605,"IAP: IA comp B 2nd stage solenoid auto d IAP: IA comp B 2nd stage solenoid auto drain not function  1st line troubleshooting: - Clean strainer auto drain, same also not function. Crack open manually auto drain  Integrated troubleshooting: -  C&I trouble shooter check seat for solenoid is damage - Advised to raised defect for replacement. IAP: IAC B auto drain SOV replacement IAP: IAC B auto drain SOV replacement IAP: IA comp B 2nd stage solenoid auto drain not function  1st line troubleshooting: - Clean strainer auto drain, same also not function. Crack open manually auto drain  Integrated troubleshooting: -  C&I trouble shooter check seat for solenoid is damage - Advised to raised defect for replacement."
606,"ETP: FICA-404 reading not tally ETP: FICA-404 reading not tally (100% open at DCS, at local fully close) ETP: FICA-404 reading not tally ETP: FICA-404 reading not tally ETP: FICA-404 reading not tally (100% open at DCS, at local fully close)"
607,ETP Backwash Sump (T1-2701) : Level TX ETP Backwash Sump (T1-2701) : Level transmitter (LIA 001 TX) reading freeze at 100%.  C&I troubleshooter checked and found transmitter kaput. To replace new transmitter. ETP(T1-2701) : Replace Level TX ETP(T1-2701) : Replace Level TX ETP Backwash Sump (T1-2701) : Level transmitter (LIA 001 TX) reading freeze at 100%.  C&I troubleshooter checked and found transmitter kaput. To replace new transmitter.
